distance,minute,hour,GEOID
40.41167766,50.51935468,0.841989245,130570910011
40.09450734,49.7575437,0.829292395,130570910012
42.48767178,52.23634085,0.870605681,130570910013
43.17171843,54.63129142,0.910521524,130570910061
42.35004547,52.40912518,0.87348542,130570910062
44.04183484,55.63086543,0.927181091,130570910071
43.37811384,56.44717708,0.940786285,130570910072
43.95557801,55.42269751,0.923711625,130570910073
3.29765921,6.12949972,0.102158329,130630402021
4.41055756,9.14311377,0.15238523,130630402022
6.25131247,11.99731533,0.199955256,130630402031
3.43181726,6.90592751,0.115098792,130630402032
5.48542557,10.5790454,0.176317423,130630402041
4.24901653,8.51884905,0.141980818,130630402042
4.54702327,9.39028913,0.156504819,130630402043
5.95100829,11.97972904,0.199662151,130630403021
6.75949605,11.01955402,0.183659234,130630403022
3.76784761,6.63535268,0.110589211,130630403023
4.96084835,9.30635899,0.155105983,130630403024
4.94511775,9.10910398,0.1518184,130630403061
5.44470231,9.5364861,0.158941435,130630403062
6.17080943,12.16792879,0.202798813,130630403071
7.39633396,14.30143816,0.238357303,130630403072
4.34657182,6.75339804,0.112556634,130630403081
5.58680597,10.18986618,0.169831103,130630403082
5.87772243,10.38369674,0.173061612,130630403083
6.53838247,12.10165195,0.201694199,130630404071
7.4542833,12.87318963,0.214553161,130630404072
11.96573902,17.29231222,0.288205204,130630404091
9.54483672,16.58013368,0.276335561,130630404092
9.30574942,13.13292937,0.218882156,130630404101
11.10762782,17.30704019,0.28845067,130630404102
6.35507466,8.92319465,0.148719911,130630404141
9.68018287,14.98521043,0.249753507,130630404161
8.16858679,14.88678425,0.248113071,130630404162
7.40957914,11.58514429,0.193085738,130630404171
8.01825681,12.51333033,0.208555506,130630404172
9.87920374,15.5759496,0.25959916,130630404173
6.06777332,12.45041899,0.207506983,130630405091
6.05967539,11.57505072,0.192917512,130630405092
5.95122422,11.6437235,0.194062058,130630405101
6.56883449,11.29496296,0.188249383,130630405102
6.75698113,13.767094,0.229451567,130630405121
6.87125368,12.96902438,0.216150406,130630405122
7.16888932,12.32148674,0.205358112,130630405123
7.60647795,14.00019754,0.233336626,130630405131
7.54851925,14.26569816,0.237761636,130630405132
8.12626668,15.58980106,0.259830018,130630405133
10.90485101,19.23576126,0.320596021,130630405181
12.35944746,20.45123316,0.340853886,130630405182
11.89325171,22.74807646,0.379134608,130630405183
5.46857251,10.18668349,0.169778058,130630405191
5.43971409,10.63321933,0.177220322,130630405192
7.99960152,14.08240812,0.234706802,130630405211
7.74771452,12.45449802,0.207574967,130630405212
6.24204148,12.32434083,0.205405681,130630405221
4.76018283,9.65613466,0.160935578,130630405222
5.8094404,12.21230759,0.20353846,130630405223
7.03450242,12.39786506,0.206631084,130630405231
11.88058897,21.07745456,0.351290909,130630405251
15.93803318,25.33763843,0.422293974,130630406061
18.52450998,32.52799229,0.542133205,130630406062
11.54257622,16.59037416,0.276506236,130630406091
