GEOID,NAME,variable,population,moe,distance,minute,hour,geometry
130670305113,"Block Group 3, Census Tract 305.11, Cobb County, Georgia",B01003_001,1720,448,30.04571422,41.69597795,0.694932966,"list(list(c(-84.515419, -84.514324, -84.515335, -84.515357, -84.513597, -84.513281, -84.512117, -84.50851, -84.508949, -84.507985, -84.507125, -84.503953, -84.504084, -84.503808, -84.509438, -84.511052, -84.512539, -84.514632, -84.514814, -84.514667, -84.515419, 33.970284, 33.972375, 33.972392, 33.972892, 33.976884, 33.981558, 33.980548, 33.982141, 33.983991, 33.983764, 33.98354, 33.983351, 33.97275, 33.972099, 33.96765, 33.967062, 33.966947, 33.966062, 33.966014, 33.96934, 33.970284)))"
132231206043,"Block Group 3, Census Tract 1206.04, Paulding County, Georgia",B01003_001,1654,422,36.61412817,45.75360844,0.762560141,"list(list(c(-84.804469, -84.79857, -84.797534, -84.793318, -84.79056, -84.790949, -84.791042, -84.790132, -84.789806, -84.792125, -84.795606, -84.797526, -84.801611, -84.803761, -84.803952, -84.803767, -84.804469, 33.821276, 33.825148, 33.825587, 33.822267, 33.818355, 33.816233, 33.809601, 33.808088, 33.807519, 33.808428, 33.808744, 33.810975, 33.812214, 33.815758, 33.817585, 33.820224, 33.821276)))"
131210102141,"Block Group 1, Census Tract 102.14, Fulton County, Georgia",B01003_001,338,343,29.08867706,40.93516973,0.682252829,"list(list(c(-84.354317, -84.350342, -84.350256, -84.35037, -84.351068, -84.351979, -84.354529, -84.354317, 33.981645, 33.982754, 33.981429, 33.980274, 33.978473, 33.979246, 33.980892, 33.981645)))"
131210077081,"Block Group 1, Census Tract 77.08, Fulton County, Georgia",B01003_001,2106,904,11.4687839,17.44261376,0.290710229,"list(list(c(-84.488532, -84.476847, -84.476198, -84.476159, -84.475139, -84.474854, -84.476449, -84.481028, -84.48234, -84.483704, -84.486251, -84.486189, -84.486157, -84.488532, 33.706403, 33.706194, 33.703357, 33.702355, 33.700689, 33.697765, 33.697756, 33.697848, 33.697548, 33.696831, 33.6949, 33.698155, 33.699271, 33.706403)))"
130630406323,"Block Group 3, Census Tract 406.32, Clayton County, Georgia",B01003_001,3729,1408,13.26858231,16.65517715,0.277586286,"list(list(c(-84.289796, -84.279178, -84.273328, -84.273112, -84.276025, -84.278108, -84.286144, -84.289038, -84.288704, -84.289796, 33.557844, 33.557721, 33.557715, 33.553911, 33.553575, 33.550798, 33.55275, 33.552981, 33.556168, 33.557844)))"
131210080002,"Block Group 2, Census Tract 80, Fulton County, Georgia",B01003_001,1803,632,10.73959151,16.83166881,0.280527814,"list(list(c(-84.446769, -84.443567, -84.442172, -84.438754, -84.438822, -84.446728, -84.446855, -84.446769, 33.722533, 33.722519, 33.722513, 33.722497, 33.714585, 33.714687, 33.721527, 33.722533)))"
131210114421,"Block Group 1, Census Tract 114.42, Fulton County, Georgia",B01003_001,1094,578,33.68548709,47.64075411,0.794012569,"list(list(c(-84.303422, -84.300462, -84.298011, -84.298896, -84.298196, -84.299434, -84.300679, -84.301685, -84.305741, -84.303422, 34.013595, 34.015517, 34.015716, 34.013051, 34.009023, 34.008011, 34.009269, 34.010603, 34.013199, 34.013595)))"
131350504602,"Block Group 2, Census Tract 504.60, Gwinnett County, Georgia",B01003_001,2626,1585,30.3558533,38.99851382,0.64997523,"list(list(c(-84.162339, -84.161271, -84.160338, -84.156125, -84.154493, -84.157631, -84.159036, -84.160712, -84.16275, -84.162339, 33.896737, 33.899122, 33.90054, 33.89899, 33.896626, 33.894886, 33.893747, 33.894845, 33.895844, 33.896737)))"
130670303441,"Block Group 1, Census Tract 303.44, Cobb County, Georgia",B01003_001,1279,329,25.21802994,34.30693984,0.571782331,"list(list(c(-84.477949, -84.474228, -84.47152, -84.469864, -84.466771, -84.465608, -84.465297, -84.465201, -84.468324, -84.47095, -84.471105, -84.473667, -84.473946, -84.476107, -84.476122, -84.477949, 33.912064, 33.912074, 33.913808, 33.916035, 33.918032, 33.914892, 33.913858, 33.911465, 33.911333, 33.908296, 33.906745, 33.90831, 33.909714, 33.909446, 33.911031, 33.912064)))"
131210018022,"Block Group 2, Census Tract 18.02, Fulton County, Georgia",B01003_001,1138,273,12.39788335,16.94458783,0.282409797,"list(list(c(-84.382049, -84.382019, -84.378574, -84.377783, -84.377192, -84.376909, -84.374793, -84.374332, -84.374079, -84.373376, -84.373539, -84.373664, -84.377832, -84.382069, -84.382049, 33.765551, 33.767509, 33.76749, 33.767296, 33.76712, 33.767037, 33.766411, 33.76632, 33.766312, 33.766336, 33.764858, 33.763976, 33.764101, 33.764204, 33.765551)))"
131210105262,"Block Group 2, Census Tract 105.26, Fulton County, Georgia",B01003_001,1213,813,12.03773977,20.09519989,0.334919998,"list(list(c(-84.597597, -84.597535, -84.597464, -84.597387, -84.596762, -84.595802, -84.593758, -84.589694, -84.587347, -84.584885, -84.584625, -84.582453, -84.581488, -84.580357, -84.581474, -84.580386, -84.578785, -84.577074, -84.575935, -84.57483, -84.575831, -84.578924, -84.582018, -84.582382, -84.586627, -84.587088, -84.587572, -84.588766, -84.593043, -84.593286, -84.593983, -84.597225, -84.59696, -84.597461, -84.597615, -84.597597, 33.593707, 33.594, 33.594209, 33.594444, 33.595501, 33.596715, 
33.598704, 33.603679, 33.605642, 33.607657, 33.60787, 33.609749, 33.610449, 33.610948, 33.609218, 33.607963, 33.604313, 33.603051, 33.602917, 33.60231, 33.59981, 33.598651, 33.598636, 33.597815, 33.593574, 33.592681, 33.592045, 33.590749, 33.587333, 33.586878, 33.587419, 33.59023, 33.590837, 33.592489, 33.593418, 33.593707)))"
130670302572,"Block Group 2, Census Tract 302.57, Cobb County, Georgia",B01003_001,492,490,35.26350502,46.83361265,0.780560211,"list(list(c(-84.600503, -84.598698, -84.596758, -84.595489, -84.592342, -84.589831, -84.587217, -84.588862, -84.591942, -84.595563, -84.597174, -84.598226, -84.599246, -84.59932, -84.599337, -84.599412, -84.600123, -84.600503, 34.003381, 34.002619, 34.002297, 34.001992, 34.001113, 33.999983, 33.998481, 33.99711, 33.99515, 33.994687, 33.993063, 33.994282, 33.997319, 33.998673, 33.998872, 33.99935, 34.002088, 34.003381)))"
131350503223,"Block Group 3, Census Tract 503.22, Gwinnett County, Georgia",B01003_001,1080,232,36.3189118,45.38783302,0.756463884,"list(list(c(-84.243681, -84.233084, -84.230035, -84.229729, -84.230323, -84.233649, -84.237625, -84.241628, -84.243884, -84.243681, 33.990047, 33.995305, 33.988456, 33.987092, 33.985692, 33.986241, 33.985404, 33.986728, 33.98908, 33.990047)))"
130890220142,"Block Group 2, Census Tract 220.14, DeKalb County, Georgia",B01003_001,1057,358,21.29546858,25.16093088,0.419348848,"list(list(c(-84.243727, -84.240107, -84.23995, -84.23864, -84.236481, -84.236114, -84.234189, -84.23484, -84.239648, -84.241561, -84.24161, -84.243727, 33.814241, 33.815949, 33.817402, 33.818527, 33.818123, 33.817591, 33.817081, 33.816314, 33.809428, 33.81025, 33.811621, 33.814241)))"
130670311112,"Block Group 2, Census Tract 311.11, Cobb County, Georgia",B01003_001,1109,206,24.4981357,33.9844867,0.566408112,"list(list(c(-84.507762, -84.50738, -84.501727, -84.500565, -84.498738, -84.495709, -84.491985, -84.487487, -84.486188, -84.486749, -84.488035, -84.490918, -84.492352, -84.492839, -84.494873, -84.499047, -84.500931, -84.506049, -84.508972, -84.507762, 33.880769, 33.880642, 33.878202, 33.876966, 33.876942, 33.878814, 33.883477, 33.883375, 33.88332, 33.881984, 33.881144, 33.878616, 33.877353, 33.876625, 33.87706, 33.87597, 33.876004, 33.878396, 33.880359, 33.880769)))"
131210053002,"Block Group 2, Census Tract 53, Fulton County, Georgia",B01003_001,1115,238,10.60086384,14.67692087,0.244615348,"list(list(c(-84.379925, -84.379862, -84.379864, -84.373638, -84.373602, -84.369773, -84.369854, -84.368196, -84.368202, -84.368333, -84.368935, -84.378512, -84.379961, -84.379925, 33.731542, 33.736473, 33.736737, 33.736598, 33.741619, 33.741569, 33.737128, 33.737151, 33.736823, 33.730154, 33.73016, 33.730323, 33.730335, 33.731542)))"
131171306041,"Block Group 1, Census Tract 1306.04, Forsyth County, Georgia",B01003_001,1162,267,44.04477928,57.34347383,0.955724564,"list(list(c(-84.18927, -84.189598, -84.185119, -84.176868, -84.175971, -84.176339, -84.176494, -84.177153, -84.176536, -84.176718, -84.177368, -84.182876, -84.184913, -84.187235, -84.188053, -84.188092, -84.189845, -84.18927, 34.108852, 34.109466, 34.110748, 34.116323, 34.116358, 34.11525, 34.109543, 34.096944, 34.095764, 34.095639, 34.095066, 34.096385, 34.097229, 34.098569, 34.100742, 34.10137, 34.104466, 34.108852)))"
130670305062,"Block Group 2, Census Tract 305.06, Cobb County, Georgia",B01003_001,2360,847,33.22420387,43.93489702,0.732248284,"list(list(c(-84.551028, -84.550277, -84.549679, -84.547292, -84.546381, -84.545434, -84.54531, -84.539852, -84.536389, -84.540355, -84.541529, -84.542111, -84.542244, -84.543427, -84.547678, -84.54793, -84.550571, -84.551028, 33.991061, 33.992395, 33.993366, 33.997298, 33.998925, 34.00159, 34.002806, 34.003342, 34.004615, 33.999921, 33.997161, 33.996081, 33.993888, 33.992599, 33.990113, 33.989513, 33.99084, 33.991061)))"
